,Sam,Rack,Time,CPM Iso1,%Err1,LumEx,ElTime,BCA,t,protein,Tritium,volume,3H-PTX
0,1,62-1,3,4412.669921875,1.74000000953674,0,3.26999998092651,1.174166666666667,26.0,0.595319822007579,7.677656574015058e-05,5.25e-06,14.624107760028682
1,2,62-2,3,4215.0,1.77999997138977,0,6.65000009536743,1.174166666666667,26.0,0.595319822007579,7.33477709724726e-05,5.25e-06,13.971003994756687
2,3,62-3,3,4740.33984375,1.67999994754791,0,10.039999961853,1.174166666666667,26.0,0.595319822007579,8.245930272069858e-05,5.25e-06,15.706533851561636
3,4,62-4,3,4410.33984375,1.74000000953674,0,13.4399995803833,1.174166666666667,24.0,0.595319822007579,7.673615089428652e-05,5.25e-06,14.616409694149814
4,5,62-5,3,4152.33984375,1.78999996185303,0,16.8199996948242,1.174166666666667,24.0,0.595319822007579,7.226076036079012e-05,5.25e-06,13.763954354436214
5,6,62-6,3,4887.33984375,1.64999997615814,0,20.2000007629395,1.174166666666667,24.0,0.595319822007579,8.500830113499939e-05,5.25e-06,16.192057359047503
6,7,62-7,3,5082.68017578125,1.62000000476837,0,23.5900001525879,1.174166666666667,22.0,0.595319822007579,8.839515798425866e-05,5.25e-06,16.8371729493826
7,8,62-8,3,4416.35009765625,1.74000000953674,0,26.9899997711182,1.174166666666667,22.0,0.595319822007579,7.684039768610654e-05,5.25e-06,14.636266225925057
8,9,62-9,3,4363.009765625,1.75,0,30.3700008392334,1.174166666666667,22.0,0.595319822007579,7.591520351583759e-05,5.25e-06,14.460038764921446
9,10,62-10,3,4718.68017578125,1.67999994754791,0,33.7700004577637,1.174166666666667,20.0,0.595319822007579,8.208370069838863e-05,5.25e-06,15.634990609216882
10,11,62-11,3,4070.67993164063,1.80999994277954,0,37.1500015258789,1.174166666666667,20.0,0.595319822007579,7.084407044132907e-05,5.25e-06,13.494108655491251
11,12,62-12,3,4626.02001953125,1.70000004768372,0,40.5499992370605,1.174166666666667,20.0,0.595319822007579,8.0476812530746e-05,5.25e-06,15.328916672523047
12,13,62-1,3,4730.68994140625,1.67999994754791,0,44.0499992370605,1.174166666666667,8.0,0.595319822007579,8.22919636606796e-05,5.25e-06,15.674659744891354
13,14,62-2,3,4596.35986328125,1.70000004768372,0,47.439998626709,1.174166666666667,8.0,0.595319822007579,7.996243274464793e-05,5.25e-06,15.230939570409129
14,15,62-3,3,5218.68994140625,1.60000002384186,0,50.8400001525879,1.174166666666667,8.0,0.595319822007579,9.075308664922522e-05,5.25e-06,17.286302218900044
15,16,62-4,3,4341.02001953125,1.75,0,54.2400016784668,1.174166666666667,7.0,0.595319822007579,7.553377860133962e-05,5.25e-06,14.387386400255167
16,17,62-5,3,4114.02001953125,1.79999995231628,0,57.6199989318848,1.174166666666667,7.0,0.595319822007579,7.159597375111065e-05,5.25e-06,13.637328333544886
17,18,62-6,3,4307.35986328125,1.75999999046326,0,61.0200004577637,1.174166666666667,7.0,0.595319822007579,7.494991195896583e-05,5.25e-06,14.276173706469683
18,19,62-7,3,4232.35986328125,1.76999998092651,0,64.4000015258789,1.174166666666667,6.0,0.595319822007579,7.364891600374785e-05,5.25e-06,14.02836495309483
19,20,62-8,3,4019.36010742188,1.82000005245209,0,67.8000030517578,1.174166666666667,6.0,0.595319822007579,6.995369507773391e-05,5.25e-06,13.324513348139792
20,21,62-9,3,4530.7001953125,1.72000002861023,0,71.1900024414062,1.174166666666667,6.0,0.595319822007579,7.882369627783385e-05,5.25e-06,15.014037386254067
