Name,Area,c,t,c_cell,Competitor
0-1,973022,2.3160922337505276,0.0,16.083973845489776,False
0-2,1104151,2.527115709779843,0.0,17.549414651248913,False
0-3,940403,2.2620249227717197,0.0,15.708506408136945,True
0-4,638328,1.7222162930740443,0.0,11.959835368569754,True
0.5-1,645484,1.7360082257401048,0.5,12.05561267875073,False
0.5-2,529765,1.5050123650209637,0.5,10.451474757090025,False
0.5-3,560456,1.5680389801265433,0.5,10.889159584212107,True
0.5-4,513649,1.4713484972417321,0.5,10.21769789751203,True
1-1,760219,1.9496898893110988,1.0,13.539513120215966,False
1-2,704176,1.8469864862793248,1.0,12.826295043606423,False
1-3,483455,1.4071494150394739,1.0,9.771870937774125,True
1-4,366447,1.1420174316263423,1.0,7.930676608516267,True
3-1,490401,1.422053221662721,3.0,9.87536959488001,False
3-2,629904,1.7059037400226023,3.0,11.846553750156962,False
3-3,162649,0.5845208850995094,3.0,4.059172813191038,True
3-4,245729,0.831530120637692,3.0,5.77451472665064,True
6-1,580609,1.608696239818765,6.0,11.17150166540809,False
6-2,610078,1.667175262038397,6.0,11.577605986377758,False
6-3,67557,0.24740606909198254,6.0,1.7180977020276567,True
6-4,67557,0.24740606909198254,6.0,1.7180977020276567,True
24-1,496130,1.4342840168798658,24.0,9.960305672776848,False
24-2,539877,1.5259314110245392,24.0,10.596745909892634,False
24-3,89446,0.33163860110835647,24.0,2.303045841030254,True
24-4,64753,0.23630168299031204,24.0,1.640983909654945,True
