,Name,Area,c,t,Competitor,c_cell
7,0-1,14011132,0.16549422365839375,0.0,False,3.4477963262165368
8,0-2,11747678,0.14072349196175582,0.0,False,2.931739415869913
9,0-3,11998328,0.14348045397830456,0.0,True,2.9891761245480115
10,0-4,15707505,0.18394757045913437,0.0,True,3.832241051231966
11,0.5-1,10346000,0.1252102435714704,0.5,False,2.6085467410723
12,0.5-2,9427834,0.11493438801860036,0.5,False,2.3944664170541743
13,0.5-3,10990501,0.13236566874508535,0.5,True,2.7576180988559447
14,0.5-4,10632148,0.12839235948149,0.5,True,2.6748408225310416
15,1-1,7673941,0.094941022161271,1.0,False,1.9779379616931458
16,1-2,7702919,0.09527621965083398,1.0,False,1.984921242725708
17,1-3,5283477,0.06648596770468856,1.0,True,1.3851243271810119
18,1-4,6561885,0.08192042437964037,1.0,True,1.7066755079091744
19,3-1,5246372,0.06602891605302133,3.0,False,1.3756024177712778
20,3-2,4971546,0.06262553877634318,3.0,False,1.3046987245071495
21,3-3,1586116,0.0173626402386533,3.0,True,0.3617216716386104
22,3-4,1469569,0.0157049938656872,3.0,True,0.3271873722018167
23,6-1,2199066,0.02604243788598544,6.0,False,0.5425507892913634
24,6-2,2468105,0.02979706541257521,6.0,False,0.620772196095317
25,6-3,580611,0.0037496790933228843,6.0,True,0.07811831444422676
26,6-4,535844,0.003243835177030812,6.0,True,0.06757989952147525
27,22-1,305626,0.0010516138317064822,22.0,False,0.021908621493885047
28,22-2,271058,0.0008041351678264592,22.0,False,0.01675281599638457
29,22-3,270414,0.000799787188903267,22.0,True,0.016662233102151397
30,22-4,251646,0.0006775257111744364,22.0,True,0.014115118982800759
