Name,Area,c,t,c_cell,Competitor
0-1,105575952,0.16460018013421837,0.0,1.7145852097314416,False
0-2,90921255,0.13368274873987523,0.0,1.3925286327070339,False
0-3,93481260,0.1389223419508122,0.0,1.447107728654294,True
0-4,89270488,0.13034089633386883,0.0,1.357717670144467,True
0.5-1,83371440,0.11863696023846823,0.5,1.2358016691507108,False
0.5-2,78274717,0.10882885550782828,0.5,1.133633911539878,False
0.5-3,78004488,0.10831679775005489,0.5,1.1282999765630717,True
0.5-4,79677180,0.1114993343161429,0.5,1.1614513991264885,True
1-1,77127117,0.10665983918513391,1.0,1.1110399915118117,False
1-2,73861673,0.1005681975525655,1.0,1.0475853911725572,False
1-3,70834996,0.0950289737652321,1.0,0.9898851433878344,True
1-4,64627859,0.08399663081150915,1.0,0.8749649042865537,True
3-1,60117354,0.07626168756853571,3.0,0.7943925788389138,False
3-2,53169601,0.06482469048227553,3.0,0.6752571925237034,False
3-3,65317181,0.08519980431978894,3.0,0.8874979616644681,True
3-4,50560539,0.06068312544528876,3.0,0.6321158900550913,True
8-1,70432251,0.09429972587735543,8.0,0.9822888112224525,False
8-2,66272392,0.08687622068513955,8.0,0.9049606321368703,False
8-3,59569598,0.07533879539795889,8.0,0.7847791187287384,True
8-4,60555958,0.07700325788443926,8.0,0.8021172696295757,True
24-1,56725391,0.07060470240097137,24.0,0.7354656500101185,False
24-2,58977550,0.07434531865453146,24.0,0.7744304026513694,False
24-3,50189123,0.06010048465228445,24.0,0.6260467151279631,True
24-4,47444849,0.05584974221997107,24.0,0.5817681481246987,True
