Name,Area,c,t,c_cell,Competitor
0-1,2202105,0.019860813876521353,0.0,1.3792231858695385,False
0-2,2177815,0.019608730369509646,0.0,1.3617173867715033,False
0-3,2006988,0.017848146320992235,0.0,1.2394546056244609,True
0-4,1973635,0.017506988389865266,0.0,1.2157630826295325,True
1-1,327259,0.0022104887880828586,1.0,0.1535061658390874,False
1-2,326815,0.00220703530426097,1.0,0.1532663405736785,False
1-3,200820,0.001259621203588972,1.0,0.08747369469367862,True
1-4,198035,0.0012395246357802608,1.0,0.08607809970696256,True
3-1,121255,0.0007045371763029166,3.0,0.04892619279881365,False
3-2,114674,0.0006606841757695929,3.0,0.045880845539555064,False
3-3,60928,0.0003189290570532417,3.0,0.022147851184252897,True
3-4,49339,0.00025013350633848295,3.0,0.017370382384616873,True
8-1,51928,0.000265308750383797,8.0,0.01842421877665257,False
8-2,53076,0.00027207483195274625,8.0,0.018894085552274044,False
8-3,36002,0.00017400113237548543,8.0,0.012083411970519821,True
8-4,33050,0.00015767474621666578,8.0,0.010949635153935124,True
24-1,72739,0.0003911239534840825,24.0,0.02716138565861684,False
24-2,40286,0.00019805441961511417,24.0,0.013753779139938483,False
24-3,22275,0.00010009715145744988,24.0,0.00695119107343402,True
24-4,22067,9.902147579141569e-05,24.0,0.006876491374403868,True
