Name,Area,c,t,c_cell,Competitor
0-1,38266863,0.06077810915687297,0.0,4.220702024782845,False
0-2,38439802,0.06112385885118083,0.0,4.244712420220892,False
0-3,36461597,0.05720105856102546,0.0,3.9722957334045463,True
0-4,35391935,0.05510953004672829,0.0,3.8270506976894647,True
0.5-1,9356362,0.01149496332332838,0.5,0.7982613418978042,False
0.5-2,7670112,0.009244870881156062,0.5,0.6420049223025043,False
0.5-3,8434465,0.010254054709494921,0.5,0.7120871326038141,True
0.5-4,9478390,0.011661120395057631,0.5,0.8098000274345578,True
1-1,6423541,0.00763865640000228,1.0,0.5304622500001583,False
1-2,6084743,0.007210866378370348,1.0,0.5007546096090519,False
1-3,5253726,0.006177914543034961,1.0,0.42902184326631676,True
1-4,5330740,0.006272652285282037,1.0,0.4356008531445859,True
3-1,4103004,0.004787060664764992,3.0,0.3324347683864578,False
3-2,4085030,0.004765708067434759,3.0,0.33095194912741377,False
3-3,3463195,0.0040341445426200695,3.0,0.2801489265708382,True
3-4,3947000,0.004602118670689328,3.0,0.3195915743534256,True
8-1,2689505,0.0031433972484441203,8.0,0.21829147558639725,False
8-2,3458202,0.004028326968702547,8.0,0.2797449283821213,False
8-3,2576716,0.0030153266126051372,8.0,0.2093976814309123,True
8-4,2786217,0.0032535695051560095,8.0,0.2259423267469451,True
24-1,1480231,0.0017918401227644026,24.0,0.12443334185863908,False
24-2,1635632,0.001963141837187757,24.0,0.13632929424914977,False
24-3,1382358,0.0016842090796423072,24.0,0.11695896386404911,True
24-4,1651069,0.0019801891666907222,24.0,0.1375131365757446,True
