,Name,Area,c,t,c_cell,Competitor
7,0-1,1157445,0.103102902089122,0.0,4.2959542537134165,False
8,0-2,1150627,0.10336413777109882,0.0,4.306839073795785,False
9,0-3,1180197,0.102207601794357,0.0,4.2586500747648754,True
10,0-4,1324700,0.09624372463623754,0.0,4.010155193176565,True
11,1-1,812274,0.10082221483556927,1.0,4.20092561814872,False
12,1-2,776186,0.09680603133639289,1.0,4.033584639016371,False
13,1-3,612529,0.06340738231907046,1.0,2.641974263294603,True
14,1-4,617676,0.06481039862861844,1.0,2.700433276192435,True
15,3-1,616564,0.06450873958121696,3.0,2.6878641492173734,False
16,3-2,591412,0.057488571593730484,3.0,2.39535714973877,False
17,3-3,409948,0.010212188203370273,3.0,0.42550784180709467,True
18,3-4,396137,0.008053366581678647,3.0,0.335556940903277,True
19,6-1,474615,0.02410513867542208,6.0,1.0043807781425869,False
20,6-2,466342,0.02202246605634559,6.0,0.917602752347733,False
21,6-3,342608,0.0024890479849034924,6.0,0.1037103327043122,True
22,6-4,427381,0.01336936824021638,6.0,0.5570570100090159,True
23,10-1,477997,0.024977422689880138,10.0,1.0407259454116724,False
24,10-2,464164,0.021486893143288846,10.0,0.8952872143037021,False
25,10-3,368879,0.004685218821873477,10.0,0.1952174509113949,True
26,10-4,355502,0.0034469390291771247,10.0,0.14362245954904687,True
27,24-1,473203,0.023744444198078626,24.0,0.9893518415866095,False
28,24-2,490562,0.028313747907269694,24.0,1.1797394961362373,False
29,24-3,248294,6.134291451695995e-05,24.0,0.002555954771539998,True
30,24-4,210149,4.5474016473920335e-06,24.0,0.00018947506864133473,True
